i,j,bucket,dhash,phash,path_a,path_b,seq_a,seq_b,split_a,split_b,label_a,label_b
0,606,same_sequence_cross_split,7,8,testing/flip/0001_000000020.jpg,training/flip/0001_000000019.jpg,flip__0001,flip__0001,testing,training,flip,flip
0,658,different_sequence_cross_split_same_label,4,8,testing/flip/0001_000000020.jpg,training/flip/0004_000000023.jpg,flip__0001,flip__0004,testing,training,flip,flip
1,2,same_sequence_same_split,4,2,testing/flip/0002_000000012.jpg,testing/flip/0002_000000013.jpg,flip__0002,flip__0002,testing,testing,flip,flip
1,612,same_sequence_cross_split,8,8,testing/flip/0002_000000012.jpg,training/flip/0002_000000009.jpg,flip__0002,flip__0002,testing,training,flip,flip
1,614,same_sequence_cross_split,5,4,testing/flip/0002_000000012.jpg,training/flip/0002_000000011.jpg,flip__0002,flip__0002,testing,training,flip,flip
3,615,same_sequence_cross_split,8,8,testing/flip/0002_000000015.jpg,training/flip/0002_000000014.jpg,flip__0002,flip__0002,testing,training,flip,flip
5,6,same_sequence_same_split,0,2,testing/flip/0003_000000005.jpg,testing/flip/0003_000000008.jpg,flip__0003,flip__0003,testing,testing,flip,flip
5,9,different_sequence_same_split_same_label,8,4,testing/flip/0003_000000005.jpg,testing/flip/0004_000000006.jpg,flip__0003,flip__0004,testing,testing,flip,flip
5,27,different_sequence_same_split_same_label,8,6,testing/flip/0003_000000005.jpg,testing/flip/0007_000000008.jpg,flip__0003,flip__0007,testing,testing,flip,flip
5,315,different_sequence_same_split_cross_label,5,8,testing/flip/0003_000000005.jpg,testing/notflip/0004_000000029.jpg,flip__0003,notflip__0004,testing,testing,flip,notflip
5,621,same_sequence_cross_split,3,8,testing/flip/0003_000000005.jpg,training/flip/0003_000000001.jpg,flip__0003,flip__0003,testing,training,flip,flip
5,622,same_sequence_cross_split,2,8,testing/flip/0003_000000005.jpg,training/flip/0003_000000002.jpg,flip__0003,flip__0003,testing,training,flip,flip
5,623,same_sequence_cross_split,2,8,testing/flip/0003_000000005.jpg,training/flip/0003_000000003.jpg,flip__0003,flip__0003,testing,training,flip,flip
5,624,same_sequence_cross_split,0,2,testing/flip/0003_000000005.jpg,training/flip/0003_000000004.jpg,flip__0003,flip__0003,testing,training,flip,flip
5,625,same_sequence_cross_split,0,0,testing/flip/0003_000000005.jpg,training/flip/0003_000000006.jpg,flip__0003,flip__0003,testing,training,flip,flip
5,626,same_sequence_cross_split,0,2,testing/flip/0003_000000005.jpg,training/flip/0003_000000007.jpg,flip__0003,flip__0003,testing,training,flip,flip
5,627,same_sequence_cross_split,2,2,testing/flip/0003_000000005.jpg,training/flip/0003_000000009.jpg,flip__0003,flip__0003,testing,training,flip,flip
5,628,same_sequence_cross_split,4,4,testing/flip/0003_000000005.jpg,training/flip/0003_000000010.jpg,flip__0003,flip__0003,testing,training,flip,flip
